wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
689.9,3.54E-06,0.975643301,0.0003826419336,1.03E-05,5.49E-07,0.9860596725,7.03E-14,0.7007644745,0.05402184265,0.04499347064,0,0,9.35E-68,2.01E-06,0.1081458937,0.00384624116
690,3.64E-06,0.9761209837,0.0004007777897,1.03E-05,5.43E-07,0.9862877722,7.08E-14,0.6986051229,0.05470340394,0.04505859562,0,0,3.17E-68,1.87E-06,0.1081503,0.003846412815
690.1,3.77E-06,0.9765236345,0.0004198658645,1.02E-05,5.37E-07,0.9864423877,7.15E-14,0.6967503,0.05528817789,0.04509641378,0,0,3.78E-69,1.60E-06,0.1081544665,0.003846570935
690.2,3.93E-06,0.9768430239,0.0004399717342,1.02E-05,5.32E-07,0.9865628993,7.25E-14,0.6952578718,0.05576895279,0.04510822669,0,0,0,1.32E-06,0.1081584106,0.003846717207
690.3,4.12E-06,0.9770995573,0.0004611708782,1.02E-05,5.26E-07,0.9866958939,7.36E-14,0.6941906923,0.0561389972,0.04509567304,0,0,0,1.04E-06,0.1081621618,0.003846854402
690.4,4.35E-06,0.9773404554,0.0004835549947,1.01E-05,5.21E-07,0.9868380263,7.47E-14,0.6935766903,0.05638875442,0.04505812471,0,0,0,7.60E-07,0.1081657497,0.003846985287
690.5,4.63E-06,0.9776005205,0.0005072109769,1.01E-05,5.16E-07,0.9869768134,7.56E-14,0.6934372274,0.05650802604,0.04499504735,0,0,0,4.81E-07,0.1081692037,0.003847112632
690.6,4.96E-06,0.977838064,0.0005321902803,1.01E-05,5.11E-07,0.9871131533,7.62E-14,0.6938006815,0.05648793192,0.04490711796,0,0,0,1.77E-07,0.1081725534,0.003847239206
690.7,5.35E-06,0.9780058079,0.0005585483353,1.01E-05,5.06E-07,0.9872503912,7.64E-14,0.6946841463,0.05632387268,0.04479515908,0,0,1.37E-72,0,0.1081758284,0.003847367777
690.8,5.84E-06,0.9781106059,0.0005863919094,1.01E-05,5.01E-07,0.9873882803,7.61E-14,0.6960978885,0.05601258598,0.0446598296,0,0,1.07E-74,0,0.1081790582,0.003847501114
